;municipio_paciente;Total
959;LAGUNA;38
960;LAJEADO;2
961;LAJEDO;33222
962;LAPAO;31
963;LARANJAL DO JARI;6212212223333222223222231622232
964;LAURO DE FREITAS;23662381213381121
965;LAVRAS;382
966;LAVRAS DA MANGABEIRA;3
967;LENCOIS;2
968;LEOPOLDINA;623
969;LIMEIRA;6612666
970;LIMEIRA DO OESTE;6
971;LIMOEIRO;6666622666
972;LIMOEIRO DO AJURU;72
973;LIMOEIRO DO NORTE;2
974;LINHARES;7
975;LINS;26
976;LIVRAMENTO DE NOSSA SENHORA;63
977;LONDRINA;61262212
978;LORENA;6
979;LUCAS DO RIO VERDE;1211
980;LUCENA;62
981;LUIS ANTONIO;16
982;LUIS CORREIA;362
983;LUIS DOMINGUES;1
984;LUIS EDUARDO MAGALHAES;3112
985;LUIS GOMES;3
986;LUIZIANA;1
987;LUZIANIA;11161222636316266226336222
988;LUZILANDIA;1
989;MACAE;61222
990;MACAIBA;311
991;MACAMBIRA;3
992;MACAPA;211223261132116666112112221626213121366126211626622212212226131382222321162138383827353867138223238383812777738383871622227381233272273387383838
993;MACAU;2
994;MACEIO;62626136213762126226266231666663261
995;MACHADINHO;1
996;MACHADINHO D'OESTE;2226
997;MACHADO;33
998;MACHADOS;38
999;MACUCO;6
1000;MACURURE;13
1001;MAE DO RIO;2612666
1002;MAFRA;22
1003;MAGE;666
1004;MAIRI;2
1005;MAJOR SALES;6
1006;MALTA;66
1007;MAMANGUAPE;325110
1008;MAMPITUBA;2
1009;MANACAPURU;222226721622122166166221
1010;MANAQUIRI;116353
1011;MANARI;1113
1012;MANAUS;72266626211612171117266622111121122322211116636666217221116662162213621622616626216312623112262622616662626216226662212261127266626662616616212221111621616621623666226622626622116261616662221111666266211116616661622611166666166612221122212216166626666226121162266116321363861112216116222262161162
1013;MANCIO LIMA;1
1014;MANDAGUARI;33
1015;MANDURI;66
1016;MANGARATIBA;2
1017;MANHUACU;6721
1018;MANHUMIRIM;26
1019;MANICORE;172661662766626666216266612222261
1020;MARAA;22612
1021;MARABA;122231262272
1022;MARACACUME;2622
1023;MARACAI;6
1024;MARACAJA;1
1025;MARACAJU;233
1026;MARACANAU;7136213321612666
1027;MARACAS;10
1028;MARAIAL;6
1029;MARANGUAPE;366
1030;MARANHAOZINHO;31
1031;MARAPANIM;3393937
1032;MARAU;2
1033;MARAVILHA;38
1034;MARCO;3
1035;MARCOS PARENTE;6
1036;MARECHAL THAUMATURGO;232323
1037;MARI;338
1038;MARIA DA FE;6
1039;MARIALVA;6
1040;MARIANA;323262211
1041;MARICA;6663
1042;MARILENA;3
1043;MARILUZ;62
1044;MARINGA;71131382383838382382222212111213811112
1045;MARITUBA;612
1046;MARQUINHO;2
1047;MARTINOPOLE;107
1048;MASSAPE;7
1049;MASSARANDUBA;6
1050;MATA DE SAO JOAO;38
1051;MATA VERDE;6
1052;MATAO;216
1053;MATELANDIA;38
1054;MATEUS LEME;1
1055;MATINA;6
1056;MATINHA;22233
1057;MATOES;332333333312321
1058;MATOZINHOS;6237
1059;MATRIZ DE CAMARAGIBE;2
1060;MAUA;1666266326661666
1061;MAUES;61266612626112622623622
1062;MAURITI;32
1063;MAZAGAO;216
1064;MEDICILANDIA;662
1065;MELGACO;11
1066;MESOPOLIS;6
1067;MESQUITA;38
1068;MESSIAS;1
1069;MIGUEL ALVES;72137
1070;MIGUEL CALMON;1
1071;MIGUEL PEREIRA;26
1072;MIGUELOPOLIS;66
1073;MILAGRES DO MARANHAO;2
1074;MILHA;6
1075;MILTON BRANDAO;3222
1076;MIMOSO DO SUL;6662
1077;MINAS NOVAS;31
1078;MINEIROS;7
1079;MIRACEMA;1
1080;MIRACEMA DO TOCANTINS;1
1081;MIRAGUAI;2
1082;MIRAI;3
1083;MIRAIMA;66386
1084;MIRANDA DO NORTE;2
1085;MIRANDIBA;13
1086;MIRANTE DO PARANAPANEMA;6
1087;MIRAVANIA;2
1088;MISSAO VELHA;3
1089;MOCAJUBA;2122
1090;MOCOCA;6612626631266
1091;MOGI DAS CRUZES;662216666616626626666511626626
1092;MOGI GUACU;6
1093;MOJI MIRIM;2211
1094;MOJUI DOS CAMPOS;622
1095;MOMBACA;36210
1096;MONCAO;313222
1097;MONGAGUA;16
1098;MONSENHOR GIL;6
1099;MONSENHOR HIPOLITO;666
1100;MONTADAS;6
1101;MONTANHA;6
1102;MONTANHAS;2
1103;MONTE ALEGRE;122
1104;MONTE ALEGRE DE SERGIPE;266
1105;MONTE BELO;2
1106;MONTE CASTELO;1
1107;MONTE FORMOSO;221
1108;MONTE HOREBE;3
1109;MONTE MOR;61
1110;MONTE NEGRO;3
1111;MONTE SANTO;382121381262397
1112;MONTE SANTO DE MINAS;1
1113;MONTEIRO;1
1114;MONTENEGRO;2102
1115;MONTES ALTOS;2
1116;MORADA NOVA;10310
1117;MORENO;3
1118;MORPARA;66
1119;MORRO DO CHAPEU;3332322616
1120;MORRO DO CHAPEU DO PIAUI;66
1121;MORROS;2262
1122;MOSSORO;6226166226
1123;MUANA;2113321
1124;MUCAJAI;16
1125;MUCURI;3
1126;MUNDO NOVO;73122
1127;MURICI;22
1128;MURITIBA;2
1129;MUTUIPE;32
1130;MUZAMBINHO;2
1131;NANUQUE;2
1132;NATAL;2232261222621221622131712222
1133;NAVEGANTES;2
1134;NAVIRAI;372223722
1135;NAZARE DA MATA;6
1136;NAZARE DO PIAUI;6
1137;NEPOMUCENO;1
1138;NEROPOLIS;22
1139;NEVES PAULISTA;6
1140;NHAMUNDA;66626266
1141;NILOPOLIS;31
1142;NIPOA;1
1143;NIQUELANDIA;1
1144;NISIA FLORESTA;3
1145;NITEROI;331112387623826382
1146;NORMANDIA;213
1147;NORTELANDIA;10
1148;NOSSA SENHORA DA GLORIA;221
1149;NOSSA SENHORA DE LOURDES;3
1150;NOSSA SENHORA DE NAZARE;1
1151;NOSSA SENHORA DO SOCORRO;1
1152;NOVA ALIANCA;6
1153;NOVA ALVORADA DO SUL;1
1154;NOVA ANDRADINA;3122
1155;NOVA CRUZ;6
1156;NOVA ESPERANCA;3
1157;NOVA ESPERANCA DO PIRIA;1
1158;NOVA FRIBURGO;3363338
1159;NOVA GRANADA;6
1160;NOVA IGUACU;7213332223221121
1161;NOVA MAMORE;3
1162;NOVA MARILANDIA;12
1163;NOVA MUTUM;2621
1164;NOVA OLINDA;266
1165;NOVA OLINDA DO MARANHAO;61
1166;NOVA OLINDA DO NORTE;62123372316
1167;NOVA PRATA;2
1168;NOVA REDENCAO;2
1169;NOVA SERRANA;2
1170;NOVA SOURE;6
1171;NOVA TIMBOTEUA;6
1172;NOVA TRENTO;1
1173;NOVA UBIRATA;62
1174;NOVO AIRAO;1
1175;NOVO ARIPUANA;6
1176;NOVO CRUZEIRO;666666266
1177;NOVO GAMA;226217
1178;NOVO HAMBURGO;12
1179;NOVO HORIZONTE;2
1180;NOVO HORIZONTE DO SUL;333
1181;NOVO ORIENTE;2
1182;NOVO SAO JOAQUIM;2
1183;NOVO TRIUNFO;62
1184;OBIDOS;262132356
1185;OCARA;2
1186;OEIRAS;26627
1187;OEIRAS DO PARA;361317122383
1188;OIAPOQUE;17
1189;OLHO D'AGUA DO CASADO;6
1190;OLHOS-D'AGUA;1
1191;OLIMPIA;2
1192;OLINDA;276233334332383838173332321133738
1193;OLINDA NOVA DO MARANHAO;12
1194;OLINDINA;2333
1195;OLIVEIRA DOS BREJINHOS;6
1196;ORINDIUVA;2
1197;ORIXIMINA;16312
1198;ORLANDIA;6
1199;ORLEANS;1
1200;OROBO;238
1201;OROCO;1
1202;OSASCO;16261162666622661266622262612666
1203;OUREM;3
1204;OURICURI;6
1205;OURILANDIA DO NORTE;211211
1206;OURINHOS;23
1207;OURO PRETO;76
1208;OUROESTE;6
1209;PACAJUS;263
1210;PACARAIMA;2261111112123331111113111111312211112112126132313121231162113133116222
1211;PACATUBA;762662
1212;PACO DO LUMIAR;22211
1213;PACOTI;6
1214;PADRE BERNARDO;6
1215;PALHOCA;66226
1216;PALMARES;6623
1217;PALMAS;2123217
1218;PALMAS DE MONTE ALTO;333
1219;PALMEIRA;3
1220;PALMEIRA DOS INDIOS;6
1221;PALMEIRAIS;2
1222;PALMEIRANDIA;2
1223;PALMEIRAS;2
1224;PALMEIRAS DE GOIAS;2
1225;PALMOPOLIS;66
1226;PANAMBI;1
1227;PANELAS;2
1228;PARA DE MINAS;3
1229;PARACURU;21
1230;PARAGOMINAS;1313332
1231;PARAIBA DO SUL;331
1232;PARAIBANO;26
1233;PARAIBUNA;6
1234;PARAISO DAS AGUAS;66
1235;PARAISO DO NORTE;666
1236;PARAISO DO TOCANTINS;38
1237;PARAMOTI;6
1238;PARANAGUA;221222
1239;PARANAITA;63
1240;PARANATAMA;2
1241;PARANAVAI;23666106102
1242;PARANHOS;4
1243;PARATINGA;323323
1244;PARATY;6
1245;PARAU;2
1246;PARAUAPEBAS;622226232
1247;PARAZINHO;6
1248;PARINTINS;2763167227376627627671673
1249;PARNAIBA;61266212
1250;PARNAMIRIM;2666
1251;PARNARAMA;316
1252;PAROBE;2
1253;PASSAGEM;32
1254;PASSIRA;666
1255;PASSO DO SOBRADO;6
1256;PASSO FUNDO;2
1257;PASSOS;33636
1258;PASTOS BONS;112
1259;PATOS;61372
1260;PATOS DE MINAS;3
1261;PATOS DO PIAUI;33
1262;PATROCINIO;23822222
1263;PATROCINIO DO MURIAE;1
1264;PAU DOS FERROS;666126
1265;PAUDALHO;63263866
1266;PAUINI;21
1267;PAULA CANDIDO;3
1268;PAULICEIA;6
1269;PAULINO NEVES;1
1270;PAULISTA;32213138316
1271;PAULO AFONSO;123838383872
1272;PE DE SERRA;2
1273;PECANHA;33
1274;PEDRA;3
1275;PEDRA BRANCA DO AMAPARI;2638
1276;PEDRALVA;321
1277;PEDRAO;6
1278;PEDRAS DE MARIA DA CRUZ;2
1279;PEDREIRA;1
1280;PEDRINOPOLIS;61
1281;PEDRO AFONSO;2
1282;PEDRO II;37
1283;PEDRO VELHO;2
1284;PELOTAS;3623222
1285;PENALVA;21
1286;PEREIRO;3363
1287;PERUIBE;626
1288;PESQUEIRA;2633
1289;PETROLANDIA;222
1290;PETROLINA;112321322676223311386
1291;PETROPOLIS;632326237138
1292;PIANCO;2
1293;PICOS;33277
1294;PICUI;66
1295;PIEDADE;1
1296;PIEDADE DE CARATINGA;6
1297;PILAO ARCADO;21
1298;PILAR;111
1299;PILAR DO SUL;16
1300;PIMENTA BUENO;32
1301;PIMENTEIRAS;266
1302;PINDAMONHANGABA;2
1303;PINDORETAMA;77
1304;PINHAIS;16613
1305;PINHEIRO;3123
1306;PINHEIROS;66
1307;PINTADAS;1
1308;PIO IX;2
1309;PIQUETE;1
1310;PIRACAIA;2
1311;PIRACANJUBA;2
1312;PIRACICABA;621216
1313;PIRAI;110
1314;PIRAJU;6
1315;PIRAJUBA;6
1316;PIRAPEMAS;13111
1317;PIRAPETINGA;22
1318;PIRAPORA DO BOM JESUS;1
1319;PIRAPOZINHO;1662
1320;PIRAQUARA;633823
1321;PIRASSUNUNGA;262
1322;PIRIPIRI;22122211223813838382221
1323;PIRITIBA;333
1324;PITANGA;68
1325;PLANALTO;663
1326;PLANALTO DA SERRA;1
1327;POA;1661
1328;POCAO;6
1329;POCO FUNDO;2
1330;POCO VERDE;32
1331;POCONE;33
1332;POCOS DE CALDAS;3232233
1333;POMBAL;62666
1334;POMBOS;33
1335;POMERODE;2
1336;POMPEU;362
1337;PONTA DE PEDRAS;616238336
1338;PONTA GROSSA;3323232362311333233238233321383872338383838733838383873873837
1339;PONTAL;16
1340;PONTE NOVA;26106
1341;PONTES E LACERDA;62
1342;PONTO DOS VOLANTES;3
1343;PORANGA;6666
1344;PORCIUNCULA;62666
1345;PORTEL;666638
1346;PORTO ACRE;2
1347;PORTO ALEGRE;310633863106236322613316326322361363342261136343476
1348;PORTO ALEGRE DO NORTE;1
1349;PORTO AMAZONAS;38
1350;PORTO BELO;2211
1351;PORTO DA FOLHA;32
1352;PORTO DE MOZ;212
1353;PORTO DE PEDRAS;1
1354;PORTO ESPERIDIAO;2211
1355;PORTO FELIZ;2
1356;PORTO GRANDE;22162
1357;PORTO MURTINHO;31333
1358;PORTO NACIONAL;221
1359;PORTO REAL DO COLEGIO;6626
1360;PORTO SEGURO;38677322226
1361;PORTO VELHO;2212231212621133212
1362;PORTO WALTER;2
1363;POTIM;2
1364;POTIRENDABA;2
1365;POUSO ALEGRE;1
1366;POXOREO;1
1367;PRACUUBA;6
1368;PRADO;33732312
1369;PRAIA GRANDE;66626266226
1370;PRAINHA;1
1371;PRESIDENTE CASTELO BRANCO;1010
1372;PRESIDENTE DUTRA;11010101032
1373;PRESIDENTE EPITACIO;2
1374;PRESIDENTE FIGUEIREDO;221221727776771772
1375;PRESIDENTE JANIO QUADROS;1
1376;PRESIDENTE JUSCELINO;1
1377;PRESIDENTE KENNEDY;6
1378;PRESIDENTE MEDICI;3232
1379;PRESIDENTE PRUDENTE;2
1380;PRESIDENTE SARNEY;2
1381;PRESIDENTE TANCREDO NEVES;3
1382;PRESIDENTE VARGAS;22
1383;PRESIDENTE VENCESLAU;1
1384;PRIMAVERA;6
1385;PRIMAVERA DO LESTE;6
1386;PRIMEIRA CRUZ;3
1387;PROMISSAO;66
1388;PRUDENTE DE MORAIS;373
1389;PUXINANA;66
1390;QUARAI;1
1391;QUATIGUA;3
1392;QUEBRANGULO;6
1393;QUEDAS DO IGUACU;3
1394;QUEIMADAS;3326
1395;QUEIMADOS;2261
1396;QUERENCIA;1
1397;QUIRINOPOLIS;6
1398;QUISSAMA;7
1399;QUITANDINHA;3
1400;QUIXADA;27
1401;QUIXELO;3
1402;QUIXERAMOBIM;766662
1403;RANCHO ALEGRE;2
1404;RAPOSOS;38
1405;RAUL SOARES;1
1406;REALEZA;1
1407;RECIFE;316613336323438523832
1408;RECREIO;32
1409;REDENCAO;232
1410;REDENCAO DO GURGUEIA;2
1411;REGISTRO;26
1412;REMANSO;2
1413;REMIGIO;6
1414;RERIUTABA;1
1415;RESERVA DO IGUACU;10
1416;RIACHAO DAS NEVES;2
1417;RIACHAO DO DANTAS;32
1418;RIACHAO DO JACUIPE;6
1419;RIACHINHO;1
1420;RIACHO DE SANTANA;66
1421;RIACHUELO;2
1422;RIALMA;7
1423;RIBEIRA DO POMBAL;381
1424;RIBEIRAO;32
1425;RIBEIRAO BRANCO;61
1426;RIBEIRAO DAS NEVES;62362323333383
1427;RIBEIRAO PIRES;222
1428;RIBEIRAO PRETO;1122666626326662
1429;RIBEIROPOLIS;2
1430;RINCAO;6
1431;RIO ACIMA;3
1432;RIO BRANCO;122623821
1433;RIO BRANCO DO SUL;22
1434;RIO BRILHANTE;33
1435;RIO CLARO;6676
1436;RIO DAS OSTRAS;386
1437;RIO DE JANEIRO;163222332331132663316133210713316333633161666133272371111633363263323223233123331133311272163333623332362161613136166663131632331111103233333101662326222632211326263311633122338112233173632238233622332663226638266138233381621323233833838686233361
1438;RIO DO PIRES;62
1439;RIO DO PRADO;1
1440;RIO FORMOSO;6
1441;RIO GRANDE;6622263
1442;RIO GRANDE DA SERRA;6
1443;RIO LARGO;3161
1444;RIO MANSO;33
1445;RIO NEGRO;3
1446;RIO NOVO;1
1447;RIO PARANAIBA;10
1448;RIO PARDO;2
1449;RIO PIRACICABA;2
1450;RIO PRETO DA EVA;26172316
1451;RIO REAL;2
1452;RIO TINTO;333
1453;RIO VERDE;2221382
1454;RIO VERMELHO;2
1455;ROCHEDO;11
1456;RODEIRO;2
1457;RODELAS;127
1458;ROLANDIA;666666
1459;ROLIM DE MOURA;2
1460;RONDON DO PARA;1
1461;RONDONOPOLIS;6323266
1462;RORAINOPOLIS;21
1463;ROSANA;63
1464;ROSARIO;66211
1465;ROSARIO DO CATETE;2
1466;ROSARIO OESTE;1
1467;RUROPOLIS;6
1468;RUSSAS;62
1469;SABARA;2331326
1470;SACRAMENTO;66
1471;SALES OLIVEIRA;6
1472;SALESOPOLIS;2
1473;SALGUEIRO;1332116
1474;SALINAS DA MARGARIDA;12
1475;SALINOPOLIS;662666116
1476;SALITRE;1
1477;SALTO;212626
1478;SALTO DA DIVISA;6
1479;SALVADOR;232273838238382222212123638222383838383813838738383838713838381122222773838382273838383838383812777138383822222222227223811113838381222222738383838383811383813822138273877713838381173838383822122222383838222722238383838211771738383838222222738382226222111122222222222777138122773838381138383811111722722212222222738383838738383838111222277383838383838381381112238381238321122212382212263838735
1480;SALVADOR DO SUL;232
1481;SALVATERRA;313311616
1482;SANDOLANDIA;1
1483;SANT'ANA DO LIVRAMENTO;26
1484;SANTA ALBERTINA;6
1485;SANTA BARBARA;23826
1486;SANTA CRUZ;62122
1487;SANTA CRUZ CABRALIA;2
1488;SANTA CRUZ DE MONTE CASTELO;2
1489;SANTA CRUZ DO ARARI;2
1490;SANTA FE;2
1491;SANTA GERTRUDES;62
1492;SANTA HELENA DE GOIAS;33
1493;SANTA INES;623661222
1494;SANTA ISABEL;11616
1495;SANTA ISABEL DO PARA;621
1496;SANTA ISABEL DO RIO NEGRO;6263662266266
1497;SANTA IZABEL DO OESTE;2
1498;SANTA JULIANA;2
1499;SANTA LEOPOLDINA;1
1500;SANTA LUZIA;33123233331223722110
1501;SANTA LUZIA DO ITANHY;2333
1502;SANTA LUZIA DO PARA;2
1503;SANTA LUZIA DO PARUA;6
1504;SANTA MARIA;38721238
1505;SANTA MARIA DA BOA VISTA;261623
1506;SANTA MARIA DA VITORIA;6
1507;SANTA QUITERIA;3334
1508;SANTA QUITERIA DO MARANHAO;6
1509;SANTA RITA;1236323213425127112381733312382
1510;SANTA RITA DE CASSIA;32
1511;SANTA RITA DE IBITIPOCA;3
1512;SANTA RITA DE JACUTINGA;2
1513;SANTA RITA DO PASSA QUATRO;6
1514;SANTA RITA DO SAPUCAI;39
1515;SANTA ROSA;1
1516;SANTA ROSA DE VITERBO;1
1517;SANTA ROSA DO PURUS;66
1518;SANTA TEREZA DE GOIAS;6
1519;SANTA VITORIA;6
1520;SANTANA;3213112671
1521;SANTANA DE MANGUEIRA;26
1522;SANTANA DE PARNAIBA;621666
1523;SANTANA DO ACARAU;2
1524;SANTANA DO GARAMBEU;6
1525;SANTANA DO MARANHAO;238
1526;SANTANA DO MATOS;5
1527;SANTAREM;7111113666666212266261612233677116176222723616
1528;SANTIAGO;7
1529;SANTO AMARO;331223
1530;SANTO AMARO DAS BROTAS;101033
1531;SANTO ANDRE;66222122666626766621622666
1532;SANTO ANTONIO;62
1533;SANTO ANTONIO DE JESUS;7777173838773873877777
1534;SANTO ANTONIO DE PADUA;6
1535;SANTO ANTONIO DE POSSE;716
1536;SANTO ANTONIO DO DESCOBERTO;2223821134
1537;SANTO ANTONIO DO LESTE;2
1538;SANTO ANTONIO DO TAUA;2
1539;SANTO ANTONIO DOS LOPES;32
1540;SANTO ESTEVAO;63
1541;SANTO INACIO DO PIAUI;38
1542;SANTOS;12112166662
1543;SAO BENTO;317632
1544;SAO BENTO DO SAPUCAI;6
1545;SAO BENTO DO SUL;1
1546;SAO BENTO DO UNA;11
1547;SAO BERNARDO DO CAMPO;66122161276111266666261266662162161166666263
1548;SAO BORJA;23
1549;SAO CAITANO;226
1550;SAO CARLOS;66662
1551;SAO CRISTOVAO;2238
1552;SAO DESIDERIO;62
1553;SAO DOMINGOS;31
1554;SAO DOMINGOS DO ARAGUAIA;1
1555;SAO DOMINGOS DO CAPIM;21
1556;SAO DOMINGOS DO PRATA;32
1557;SAO FELIPE;3826106
1558;SAO FELIX DO XINGU;33
1559;SAO FRANCISCO DE ASSIS DO PIAUI;7
1560;SAO FRANCISCO DE PAULA;332
1561;SAO FRANCISCO DO BREJAO;2
1562;SAO FRANCISCO DO CONDE;26
1563;SAO FRANCISCO DO MARANHAO;2
1564;SAO FRANCISCO DO OESTE;666
1565;SAO FRANCISCO DO PARA;616676
1566;SAO FRANCISCO DO SUL;238
1567;SAO GABRIEL;2
1568;SAO GABRIEL DA CACHOEIRA;71271662362662676212627762323222262
1569;SAO GABRIEL DO OESTE;3
1570;SAO GERALDO DO ARAGUAIA;2
1571;SAO GONCALO;2332362633272
1572;SAO GONCALO DO AMARANTE;66221231635
1573;SAO GONCALO DO PARA;3332
1574;SAO GONCALO DOS CAMPOS;1
1575;SAO GOTARDO;1
1576;SAO JERONIMO;3
1577;SAO JOAO BATISTA;3822
1578;SAO JOAO DA PONTA;31
1579;SAO JOAO DE MERITI;322111
1580;SAO JOAO DE PIRABAS;211
1581;SAO JOAO DO CARU;2
1582;SAO JOAO DO IVAI;38
1583;SAO JOAQUIM;2
1584;SAO JOAQUIM DE BICAS;66
1585;SAO JORGE D'OESTE;2
1586;SAO JOSE;3222
1587;SAO JOSE DA LAPA;111123872112
1588;SAO JOSE DE MIPIBU;22
1589;SAO JOSE DE PIRANHAS;6
1590;SAO JOSE DE RIBAMAR;12216112
1591;SAO JOSE DO ALEGRE;1
1592;SAO JOSE DO BELMONTE;3332
1593;SAO JOSE DO CAMPESTRE;6
1594;SAO JOSE DO EGITO;6
1595;SAO JOSE DO PIAUI;3
1596;SAO JOSE DO RIO PARDO;6
1597;SAO JOSE DO RIO PRETO;2261126666661662662612166166666266
1598;SAO JOSE DOS CAMPOS;6396626226126
1599;SAO JOSE DOS PINHAIS;31238113811123812838138211138238381262132338726138238223838128111
1600;SAO JULIAO;2
1601;SAO LEOPOLDO;62113211
1602;SAO LOURENCO DA MATA;6166611622
1603;SAO LOURENCO DA SERRA;2
1604;SAO LUIS;323313331101352211122333822322222223
1605;SAO MATEUS;6
1606;SAO MATEUS DO SUL;3
1607;SAO MIGUEL;6676
1608;SAO MIGUEL ARCANJO;62
1609;SAO MIGUEL DO ALEIXO;2
1610;SAO MIGUEL DO GUAMA;2
1611;SAO MIGUEL DO OESTE;71
1612;SAO MIGUEL DO TAPUIO;323232323232323232132323232
1613;SAO MIGUEL DOS CAMPOS;22
1614;SAO PAULO;666666626661662666267666766216626622122221166166662627213666666266662676666666662166616226166622267666666666662262261166663166666262666626666266222216626666662222261666666666666662716666666666666166666266661662662616221666666666666266666626666666266216266266666666712236666661266616662666166666663666266626266666666216122636622236666666272662726166666666666666667266666266666166622266622611666266666222626112266662738666662266662338666762266266622666666616666
1615;SAO PAULO DE OLIVENCA;32322102311
1616;SAO PAULO DO POTENGI;6
1617;SAO PEDRO;632
1618;SAO PEDRO DA AGUA BRANCA;2
1619;SAO PEDRO DA ALDEIA;1621
1620;SAO PEDRO DA UNIAO;33
1621;SAO RAFAEL;26
1622;SAO RAIMUNDO NONATO;233333333
1623;SAO ROQUE;12666266661
1624;SAO SEBASTIAO;1121262638772
1625;SAO SEBASTIAO DE LAGOA DE ROCA;36
1626;SAO SEBASTIAO DO PARAISO;2
1627;SAO SEBASTIAO DO PASSE;1
1628;SAO SEBASTIAO DO UATUMA;1
1629;SAO TIAGO;613
1630;SAO VICENTE;6262662
1631;SAO VICENTE DE MINAS;10
1632;SAO VICENTE FERRER;1
1633;SAPE;33838
1634;SAPEACU;2
1635;SAPIRANGA;3
1636;SAPUCAI-MIRIM;6
1637;SAPUCAIA DO SUL;332
1638;SAQUAREMA;1
1639;SARANDI;3382
1640;SARAPUI;6
1641;SARUTAIA;6
1642;SARZEDO;12666266
1643;SATIRO DIAS;2
1644;SAUBARA;212
1645;SAUDADES;6
1646;SEABRA;26
1647;SEARA;2
1648;SEBASTIAO BARROS;38
1649;SEBASTIAO LARANJEIRAS;3
1650;SENADOR AMARAL;6
1651;SENADOR CANEDO;2310
1652;SENADOR ELOI DE SOUZA;2
1653;SENADOR GEORGINO AVELINO;6
1654;SENADOR POMPEU;6
1655;SENADOR SA;66
1656;SENHOR DO BONFIM;383
1657;SENHORA DO PORTO;7
1658;SENHORA DOS REMEDIOS;33333
1659;SENTO SE;2
1660;SERIDO;662
1661;SEROPEDICA;33233
1662;SERRA;3210626166661
1663;SERRA DOURADA;2
1664;SERRA PRETA;22
1665;SERRA TALHADA;32
1666;SERRANA;62
1667;SERRARIA;333
1668;SERRINHA;33
1669;SERRO;1
1670;SERROLANDIA;38
1671;SERTANIA;210
1672;SERTAOZINHO;622
1673;SETE LAGOAS;2113838383817777387773838382738383873838383877738383838387383838383827777387738387383838387383838383838383838383838383838387773838721271383827383838
1674;SIDROLANDIA;1111222222222111133333333333333333333331111111333444444444444442222222222232323244444444323244334333324424444443333333334444444444444443333413344141144444444441121111133333222444
1675;SILVANIA;38
1676;SILVES;6
1677;SIMAO DIAS;22
1678;SIMOES FILHO;1356
1679;SINOP;222
1680;SIRINHAEM;11
1681;SIRIRI;2
1682;SITIO DO MATO;3
1683;SITIO DO QUINTO;1
1684;SITIO NOVO;2
1685;SITIO NOVO DO TOCANTINS;1
1686;SOBRADINHO;62
1687;SOBRADO;6
1688;SOBRAL;6163323233661138132
1689;SOLONOPOLE;66
1690;SONORA;13
1691;SOROCABA;6272666116221622226226226666121
1692;SORRISO;326
1693;SOUSA;381277777773877777
1694;SUCUPIRA DO NORTE;2
1695;SUMARE;6626
1696;SUME;6
1697;SUMIDOURO;2
1698;SUZANO;61216662366661712
1699;TABATINGA;12323222226772317622632666638238382383821386138
1700;TABIRA;36622
1701;TABOAO DA SERRA;626626676766666266676
1702;TABULEIRO DO NORTE;6
1703;TACARATU;23
1704;TACURU;1
1705;TAGUATINGA;6
1706;TAILANDIA;7662667216626776263817772
1707;TAIOBEIRAS;71
1708;TAMARANA;3
1709;TAMBOARA;2
1710;TAMBORIL;1
1711;TANGARA DA SERRA;2326625
1712;TANGUA;2
1713;TAPAUA;33
1714;TAPEROA;3838
1715;TAPIRATIBA;6
1716;TAPURAH;222
1717;TAQUARITINGA;2
1718;TAQUARITUBA;26
1719;TARABAI;6
1720;TARAUACA;21323232322
1721;TARTARUGALZINHO;6662
1722;TATUI;6
1723;TAUA;3
1724;TAUBATE;22126
1725;TEFE;76112136332133212121262222673838
1726;TEIXEIRA;335
1727;TEIXEIRA DE FREITAS;211372223813822
1728;TEJUCUOCA;3
1729;TELEMACO BORBA;310
1730;TEODORO SAMPAIO;6
1731;TEOFILANDIA;2
1732;TEOTONIO VILELA;3
1733;TERENOS;14
1734;TERESINA;66163232382132
1735;TERESOPOLIS;1323
1736;TERRA ALTA;2
1737;TERRA NOVA;2
1738;TERRA ROXA;3
1739;TEUTONIA;213838922122122381238122
1740;TIANGUA;12
1741;TIJUCAS;2222738383837383838383838383838383838383838383838383811111111111222237373838383838383838383822382387383838383838738383838383838383838138383838383838111138123811222222383838111123838116222223838383838383838383838383838383838383837383838383822222222383838383838383838383838383838383838381221381382138383838381383812238
1742;TIJUCAS DO SUL;1
1743;TIMBAUBA;122
1744;TIMBIRAS;6
1745;TIMBO;6
1746;TIMON;11661211
1747;TIROS;2
1748;TOCANTINOPOLIS;2
1749;TOLEDO;6223822
1750;TOME-ACU;6222
1751;TONANTINS;32333352238
1752;TORRES;2
1753;TRACUATEUA;2
1754;TRACUNHAEM;333
1755;TRAIRI;2226212
1756;TRAMANDAI;10
1757;TREMEDAL;3
1758;TREMEMBE;17
1759;TRES CORACOES;310
1760;TRES LAGOAS;21621
1761;TRES PASSOS;1
1762;TRES RIOS;3
1763;TREZE TILIAS;2
1764;TRINDADE;233216
1765;TRIUNFO;10
1766;TUBARAO;6
1767;TUCANO;6
1768;TUCUMA;1238
1769;TUCURUI;238
1770;TUNAS DO PARANA;37
1771;TUNTUM;2
1772;TUPA;2
1773;TUPACIGUARA;6
1774;TUPANATINGA;6
1775;TURIACU;222123234353535353434353434
1776;TURMALINA;61
1777;TURVO;33
1778;TUTOIA;626122666
1779;UARINI;2621262661662667
1780;UAUA;13
1781;UBA;3663
1782;UBAI;3
1783;UBAJARA;2211
1784;UBATA;6
