;municipio_paciente;Total
225;BELO HORIZONTE;22221137127238138638123811383812238211138138238382238382213821213822213811222383821382213837383838387222381122382123822382138238110123238138381221227383813838382227122111381226113838111223838237122373838138222223373838113123823812223821111383812382138222387321383812383817171383872371223827382723811738
226;BELO JARDIM;2
227;BELO ORIENTE;2
228;BELTERRA;276
229;BENEVIDES;33
230;BENJAMIN CONSTANT;238638
231;BENTO GONCALVES;2222
232;BERTIOGA;66
233;BERURI;61622
234;BETANIA;3
235;BETIM;383323223333363213638633383631336166
236;BEZERROS;3232
237;BIGUACU;3
238;BIRIGUI;22
239;BIRITIBA-MIRIM;6
240;BIRITINGA;2
241;BLUMENAU;22627
242;BOA VENTURA;6
243;BOA VENTURA DE SAO ROQUE;32
244;BOA VIAGEM;6
245;BOA VISTA;212112611122221351212212222211161110122121221111261212321132222311111
246;BOA VISTA DA APARECIDA;2
247;BOA VISTA DO RAMOS;6622
248;BOCA DO ACRE;112161112
249;BOCAIUVA;33310387277777
250;BOCAIUVA DO SUL;36
251;BODOCO;6
252;BODOQUENA;3
253;BOFETE;6
254;BOITUVA;2
255;BOM DESPACHO;62
256;BOM JARDIM;3
257;BOM JESUS;266
258;BOM JESUS DA LAPA;34
259;BOM JESUS DE GOIAS;62
260;BOM JESUS DO ITABAPOANA;2
261;BOM LUGAR;6
262;BOM PRINCIPIO DO PIAUI;6
263;BOM SUCESSO DE ITARARE;66
264;BONFIM;2
265;BONFINOPOLIS;1
266;BONITO;2
267;BONITO DE MINAS;6
268;BOQUEIRAO;1
269;BOQUIM;3323
270;BOQUIRA;2
271;BORBA;63223332321363
272;BOTUCATU;2661
273;BOTUPORA;2
274;BRAGANCA;223236638
275;BRAGANCA PAULISTA;1121
276;BRASIL NOVO;6
277;BRASILEIA;1
278;BRASILIA;10662166611066632326361616226666212266262323322361123626632262222266666663226616210162666216116113662226226621326626666626161666616266622621132216111622211616327163663636666222622126663661022311666211622621111623661616622122666122366666323383233363838622123863816122231211622136623263266621666232101666611161666338362
279;BRAZABRANTES;3
280;BREJAO;6
281;BREJO DE AREIA;3
282;BREJO GRANDE;1
283;BREJO GRANDE DO ARAGUAIA;1
284;BREU BRANCO;2
285;BREVES;2263332211231616233623223
286;BRODOWSKI;622
287;BROTAS;6
288;BROTAS DE MACAUBAS;2
289;BRUMADINHO;32
290;BRUMADO;266
291;BRUSQUE;3
292;BUIQUE;3263
293;BUJARI;22216
294;BUJARU;62
295;BURI;6
296;BURITI;1
297;BURITI BRAVO;22
298;BURITI DOS LOPES;2
299;BURITICUPU;6166
300;BURITIRAMA;123332
301;BURITIS;2
302;BURITIZEIRO;6
303;CAAPIRANGA;72
304;CAAPORA;3
305;CAARAPO;12
306;CABACEIRAS DO PARAGUACU;32
307;CABECEIRA GRANDE;10
308;CABEDELO;51
309;CABO DE SANTO AGOSTINHO;332382
310;CABO FRIO;2
311;CABREUVA;661
312;CACADOR;2332
313;CACAPAVA;2
314;CACERES;2210
315;CACHOEIRA;333
316;CACHOEIRA DO ARARI;1666612271
317;CACHOEIRA DO PIRIA;621221
318;CACHOEIRA DO SUL;6336
319;CACHOEIRA GRANDE;2
320;CACHOEIRAS DE MACACU;3
321;CACHOEIRINHA;12210
322;CACHOEIRO DE ITAPEMIRIM;6216366
323;CACIMBA DE DENTRO;321
324;CACIMBAS;2
325;CACOAL;2
326;CAETANOPOLIS;6
327;CAETANOS;1
328;CAETE;103
329;CAETES;13332
330;CAETITE;331
331;CAFARNAUM;1
332;CAIBATE;10
333;CAIBI;6
334;CAICO;66
335;CAIEIRAS;6662
336;CAJAMAR;1
337;CAJAPIO;3
338;CAJUEIRO;1
339;CAJURU;1
340;CALDAS BRANDAO;6
341;CALDAS NOVAS;63
342;CALIFORNIA;3
343;CAMACAN;32
344;CAMACARI;612382232112322623633
345;CAMANDUCAIA;11323221
346;CAMAPUA;6
347;CAMARAGIBE;6163333323623
348;CAMBE;363
349;CAMETA;6166716266173873813838383838
350;CAMOCIM;610
351;CAMPANHA;2
352;CAMPESTRE;3
353;CAMPINA GRANDE;333234122
354;CAMPINA GRANDE DO SUL;3361
355;CAMPINAS;212226661662226166666616616221616116666
356;CAMPO ALEGRE DE LOURDES;63
357;CAMPO BELO;233
358;CAMPO DO BRITO;3
359;CAMPO DO TENENTE;2
360;CAMPO FORMOSO;13
361;CAMPO GRANDE;226231233143261232111332133331362
362;CAMPO LARGO;1211
363;CAMPO LIMPO PAULISTA;662626
364;CAMPO MAIOR;666
365;CAMPO MOURAO;36
366;CAMPO NOVO DO PARECIS;3666
367;CAMPO REDONDO;6
368;CAMPO VERDE;666
369;CAMPOS BELOS;263
370;CAMPOS DO JORDAO;6222
